0 Tile  2 x  2 with Silver Hufflepuff Crest on Bright Light Orange Pattern
4 0 14.4 0 -6.32 14.36 0 -7.6 15.08 0 -7.64 15.12 0 -6.28
4 0 13.08 0 -7 12.96 0 -8 13.36 0 -7.92 13.4 0 -6.44
4 0 13.76 0 -14.52 13.56 0 -14.32 12.68 0 -14.32 12.92 0 -14.76
4 0 14.64 0 -13.48 14.44 0 -14.28 15.12 0 -14.08 15.12 0 -13.24
4 0 15 0 -11.48 14.56 0 -12.2 15.24 0 -12.16 15.72 0 -12.04
4 0 15.6 0 -13.76 16 0 -13.32 15.12 0 -13.24 15.12 0 -14.08
4 0 15.72 0 -12.04 16.28 0 -11.48 16 0 -11.28 15.64 0 -11.24
4 0 16.48 0 -11.88 16.28 0 -11.48 15.72 0 -12.04 16.36 0 -12.64
4 0 15.64 0 -12.48 16 0 -13.32 16.36 0 -12.64 15.72 0 -12.04
4 0 14.08 0 -15.44 14.76 0 -15.76 14.76 0 -15.12 14.52 0 -14.84
4 0 14.12 0 -13.6 13.44 0 -13.56 13.56 0 -14.32 14.44 0 -14.28
4 0 11.52 0 -14.92 10.08 0 -15.84 10.64 0 -16.2 11.88 0 -15.28
4 0 13.96 0 -16.36 14.08 0 -15.48 13.48 0 -15.76 13.52 0 -16.48
4 0 14.08 0 -15.48 14.48 0 -16.08 14.76 0 -15.76 14.08 0 -15.44
4 0 13.36 0 -15.12 14.08 0 -15.44 13.76 0 -14.52 12.92 0 -14.76
4 0 8.76 0 -15.96 8.4 0 -16.6 8.8 0 -16.72 9.2 0 -16.6
4 0 11.88 0 -15.28 11.24 0 -16.44 11.84 0 -16.56 12.32 0 -15.56
4 0 8.8 0 -15.48 9.48 0 -16.28 9.56 0 -15.28 8.92 0 -14.84
4 0 11.56 0 -12.44 10.44 0 -11.76 11.12 0 -13.24 11.64 0 -13.56
4 0 11.76 0 -7.44 10.64 0 -7.2 10.64 0 -7.84 11.56 0 -8.28
4 0 7.92 0 2.2 6.52 0 2.92 4.92 0 -.8 5.44 0 -1.24
4 0 5.76 0 -18.04 5.96 0 -17.4 5 0 -17.76 5.56 0 -18.36
4 0 8.76 0 -15.96 9.2 0 -16.6 9.48 0 -16.28 8.8 0 -15.48
4 0 7.2 0 -14.68 7.52 0 -16.12 7.76 0 -16 8.04 0 -15.12
4 0 7.32 0 -16.4 6.52 0 -15.24 5.96 0 -17.4 6.36 0 -17.52
4 0 7.16 0 -17.24 7.32 0 -16.4 6.36 0 -17.52 6.88 0 -17.52
4 0 5 0 -17.76 4.72 0 -18.44 4.92 0 -18.52 5.28 0 -18.52
3 0 5 0 -17.76 5.28 0 -18.52 5.56 0 -18.36
4 0 2.4 0 -18.08 2.12 0 -18.84 2.68 0 -18.76 3.08 0 -17.84
4 0 4.16 0 -18 4.72 0 -18.44 5 0 -17.76 4.76 0 -17.56
4 0 3.08 0 -17.84 2.68 0 -18.76 3.36 0 -18.52 3.64 0 -17.48
4 0 -11.28 0 1.48 -11.2 0 2.32 -11.8 0 2 -11.96 0 .96
4 0 -10.08 0 1.84 -9.16 0 1.76 -10.08 0 2.52 -10.64 0 2.48
4 0 -10.84 0 1.68 -10.64 0 2.48 -11.2 0 2.32 -11.28 0 1.48
4 0 1.16 0 6.4 3.2 0 6.96 2.04 0 7.6 1.12 0 7.08
4 0 -7.28 0 -3.24 -7.72 0 -3.16 -7.72 0 -4.96 -6.8 0 -3.48
4 0 -11.76 0 3.76 -11.28 0 4 -11.8 0 4.56 -12.04 0 3.76
4 0 -12.4 0 3.96 -12.04 0 3.76 -11.8 0 4.56 -11.84 0 4.6
4 0 -12.6 0 4.28 -12.4 0 3.96 -11.84 0 4.6 -12.6 0 4.6
4 0 -12.44 0 5.24 -12.6 0 4.6 -11.84 0 4.6 -11.72 0 5.16
4 0 -9.08 0 10.4 -9.16 0 10 -8.52 0 10.12 -8.68 0 10.44
4 0 -12.92 0 7.96 -13.64 0 7.68 -13.48 0 7.4 -13.2 0 7.24
4 0 -13.68 0 8.24 -13.64 0 7.68 -12.92 0 7.96 -12.88 0 8.92
4 0 -12.68 0 9.52 -12.36 0 10.24 -13.04 0 10.48 -13.44 0 9.56
4 0 -12.76 0 11.16 -13.32 0 11.8 -13.48 0 11.24 -13.4 0 10.88
4 0 -8.88 0 17.28 -8 0 17.48 -8.64 0 17.96 -9.08 0 18.2
4 0 -14.72 0 13.84 -14.52 0 13.52 -14 0 14.16 -14.72 0 14.32
4 0 -14.6 0 14.52 -14.72 0 14.32 -14 0 14.16 -14.24 0 14.92
4 0 -12.84 0 13.4 -13.32 0 13.72 -13.56 0 13.04 -13.28 0 12.8
4 0 -14.08 0 15.76 -13.92 0 15.52 -13.32 0 16 -14.08 0 16.16
4 0 -13.32 0 16 -13.6 0 16.68 -13.92 0 16.48 -14.08 0 16.16
4 0 -12.84 0 16.2 -12.72 0 16.96 -13.2 0 16.84 -13.32 0 16
4 0 -10.28 0 16.84 -9.64 0 16.4 -9.68 0 16.8 -9.88 0 17.4
4 0 -12.52 0 17.68 -12.72 0 17.32 -11.96 0 17.16 -12.16 0 17.88
4 0 -10.24 0 18.48 -10.52 0 18.4 -10.08 0 17.72 -9.68 0 18.4
4 0 -9.68 0 18.4 -10.08 0 17.72 -9.52 0 17.6 -9.08 0 18.2
4 0 -10.08 0 17.72 -10.52 0 18.4 -10.8 0 18.16 -10.92 0 17.92
4 0 -7.76 0 15.76 -7 0 15.68 -7.2 0 16.28 -8.04 0 16.36
4 0 4.36 0 11 3.6 0 10.68 3.92 0 10.4 4.36 0 10.48
4 0 -7.84 0 14.52 -7.84 0 13.96 -7.12 0 14.44 -7 0 15.08
4 0 -3.76 0 15.72 -3.36 0 16.08 -4.04 0 16.48 -4.36 0 16.12
4 0 -1.92 0 14.24 -1.64 0 14.52 -2.08 0 15.64 -3.12 0 15.24
3 0 -9.08 0 18.2 -9.52 0 17.6 -8.88 0 17.28
4 0 -8.4 0 16.84 -7.52 0 16.88 -8 0 17.48 -8.88 0 17.28
4 0 -8.04 0 16.36 -7.2 0 16.28 -7.52 0 16.88 -8.4 0 16.84
3 0 -7.68 0 15.36 -7.84 0 14.52 -7 0 15.08
4 0 -6.76 0 13.96 -7.08 0 14.04 -7.6 0 12.92 -6.28 0 13.24
4 0 -5.56 0 13.44 -4.92 0 13.68 -5.32 0 14.28 -5.92 0 14.08
4 0 -6.32 0 9.52 -4.68 0 8.44 -4.28 0 9.08 -5.96 0 10.64
4 0 -8.04 0 10 -8.4 0 10.04 -9.16 0 9.56 -7.6 0 8.36
4 0 -6.48 0 10.68 -6.24 0 11.28 -8 0 11.4 -8.08 0 10.96
4 0 1.44 0 7.6 .72 0 7.48 1.12 0 7.08 2.04 0 7.6
4 0 -8.68 0 10.44 -8.8 0 10.96 -8.92 0 10.84 -9.08 0 10.4
4 0 -9.16 0 9.56 -8.4 0 10.04 -8.52 0 10.12 -9.16 0 10
4 0 -12.36 0 10.24 -12.16 0 11.08 -12.76 0 11.16 -13.04 0 10.48
4 0 -12.12 0 7.36 -12.12 0 8.36 -12.92 0 7.96 -12.8 0 7.12
4 0 -9.16 0 9.56 -9.84 0 9.8 -9.6 0 8.88 -7.6 0 8.36
4 0 -6.72 0 7.88 -6.76 0 5.16 -6.16 0 5.32 -5.6 0 7.08
4 0 -11.04 0 4.16 -10.68 0 3.4 -10.24 0 4.08 -10.48 0 4.72
4 0 -8.92 0 5.96 -9.28 0 5.68 -9 0 5.12 -7.24 0 5.08
4 0 -11.76 0 6.28 -12.12 0 7.36 -12.8 0 7.12 -12.44 0 6
3 0 -9.56 0 6.12 -9.28 0 5.68 -8.92 0 5.96
4 0 -6.96 0 3.56 -7.16 0 4.04 -8.6 0 3.64 -8.6 0 3.36
4 0 -9.16 0 1.76 -8.96 0 2.8 -9.2 0 2.8 -10.08 0 2.52
4 0 -8.96 0 2.8 -8.48 0 1.88 -8.04 0 2.08 -8.68 0 3.08
4 0 -9.88 0 3.48 -10.68 0 3.4 -10.08 0 2.52 -9.2 0 2.8
3 0 -10.24 0 4.08 -10.68 0 3.4 -9.88 0 3.48
4 0 -11.4 0 4.76 -11.28 0 4 -11.04 0 4.16 -10.48 0 4.72
3 0 -10.56 0 5.2 -11.4 0 4.76 -10.48 0 4.72
3 0 -10.6 0 5.56 -11.4 0 4.76 -10.56 0 5.2
3 0 -11.4 0 4.76 -11.8 0 4.56 -11.28 0 4
4 0 -11.68 0 5.72 -12.44 0 6 -12.44 0 5.24 -11.72 0 5.16
3 0 -11.76 0 6.28 -12.44 0 6 -11.68 0 5.72
3 0 -12.92 0 7.96 -13.2 0 7.24 -12.8 0 7.12
4 0 -12.12 0 8.36 -12.04 0 8.64 -12.4 0 8.48 -12.92 0 7.96
4 0 -12.88 0 8.92 -13.44 0 9.56 -13.6 0 8.96 -13.68 0 8.24
3 0 -13.44 0 9.56 -12.88 0 8.92 -12.68 0 9.52
3 0 -12.76 0 11.16 -13.4 0 10.88 -13.04 0 10.48
4 0 -13.32 0 11.8 -12.76 0 11.16 -12.48 0 12.08 -13.12 0 12.56
4 0 -13.12 0 12.56 -12.48 0 12.08 -12.44 0 12.8 -13.28 0 12.8
4 0 -13.28 0 12.8 -12.44 0 12.8 -12.56 0 13.08 -12.84 0 13.4
4 0 -13.16 0 14.64 -11.92 0 14.64 -12.36 0 15.24 -12.84 0 15.64
4 0 -14 0 14.16 -14.52 0 13.52 -13.56 0 13.04 -13.32 0 13.72
4 0 -14.24 0 14.92 -14 0 14.16 -13.6 0 14.48 -13.64 0 15.24
4 0 -13.64 0 15.24 -13.6 0 14.48 -13.16 0 14.64 -12.84 0 15.64
4 0 -12.72 0 16.96 -12.12 0 16.28 -11.96 0 17.16 -12.72 0 17.32
4 0 -13.32 0 16 -13.92 0 15.52 -13.64 0 15.24 -12.84 0 15.64
3 0 -13.2 0 16.84 -13.6 0 16.68 -13.32 0 16
3 0 -12.72 0 16.96 -12.84 0 16.2 -12.12 0 16.28
4 0 -11 0 16.28 -11.4 0 16.76 -11.56 0 16.2 -10.84 0 15.8
4 0 -10.76 0 17.08 -10.08 0 17.72 -10.92 0 17.92 -11.24 0 17.2
4 0 -12.12 0 16.28 -11.56 0 16.2 -11.4 0 16.76 -11.96 0 17.16
4 0 -11.24 0 17.2 -10.92 0 17.92 -12.16 0 17.88 -11.96 0 17.16
4 0 -10.76 0 17.08 -10.28 0 16.84 -9.88 0 17.4 -10.08 0 17.72
4 0 2.6 0 16.84 3.24 0 17.44 2.4 0 17.6 1.6 0 16.96
3 0 6.12 0 16.08 5.12 0 15.88 5.6 0 15.56
3 0 6.12 0 16.08 5.6 0 15.56 6.2 0 15.08
3 0 6.2 0 15.08 7.72 0 13.52 7.68 0 14.56
4 0 5.92 0 10.4 5.8 0 9.4 6.24 0 9.2 6.72 0 10.4
3 0 8.08 0 14.16 8.28 0 13.16 8.72 0 13.72
3 0 10.16 0 13.16 10.08 0 12.32 10.48 0 11.92
3 0 12.2 0 12.64 10.48 0 11.92 10.48 0 11.48
4 0 11.08 0 10.08 10.48 0 11.48 10.36 0 11.16 10.36 0 10.76
3 0 10.36 0 10.76 10.52 0 10.4 11.08 0 10.08
4 0 10.16 0 9.6 10.2 0 8.88 10.88 0 9.04 10.6 0 9.72
4 0 10.88 0 9.04 11.52 0 9.36 11.08 0 10.08 10.6 0 9.72
4 0 7.04 0 9.04 8.12 0 8.92 7.4 0 10.24 6.72 0 10.4
4 0 9.4 0 8.88 9.52 0 9.6 8.72 0 9.84 8.52 0 8.8
3 0 6.72 0 10.4 6.24 0 9.2 7.04 0 9.04
4 0 .44 0 12.6 1.4 0 13.24 .4 0 13.44 .04 0 13.32
4 0 5.8 0 9.4 5.92 0 10.4 5.56 0 9.92 5.6 0 9.64
4 0 6.52 0 7.48 6 0 6.88 6.68 0 6.72 7.6 0 7.48
4 0 8.72 0 9.84 7.4 0 10.24 8.12 0 8.92 8.52 0 8.8
4 0 8.04 0 7.68 7.96 0 6.84 8.56 0 7.16 9.08 0 7.68
4 0 9.4 0 8.88 8.52 0 8.8 8.72 0 8.6 9.36 0 8.12
4 0 8.64 0 8.28 9.08 0 7.68 9.36 0 8.12 8.72 0 8.6
3 0 8.64 0 8.28 8.04 0 7.68 9.08 0 7.68
3 0 8.04 0 7.68 7.6 0 7.48 7.96 0 6.84
4 0 4.6 0 7.08 4.68 0 7.84 4.36 0 7.76 3.8 0 7.04
4 0 -.6 0 15.36 -.24 0 14.88 -.16 0 15.4 -.6 0 16.16
4 0 .68 0 11.96 .08 0 11.84 .4 0 11.16 .84 0 10.96
4 0 .6 0 8.68 .52 0 8.24 .88 0 8 1.44 0 9
3 0 1.4 0 9.04 .6 0 8.68 1.44 0 9
4 0 -1.4 0 9.76 -.88 0 10.16 -1.28 0 10.04 -1.76 0 9.8
4 0 .48 0 8.12 .24 0 7.4 .72 0 7.48 .88 0 8
4 0 -.36 0 8.28 .52 0 8.24 .2 0 8.6 -.2 0 8.64
4 0 -1.04 0 8.64 -.2 0 8.64 -1.16 0 9.12 -1.28 0 8.76
4 0 -1.88 0 9.36 -1.76 0 9.8 -2.36 0 9.2 -2 0 9.16
4 0 1.64 0 16.04 2.04 0 16.12 2 0 16.16 1.08 0 16.32
3 0 -1.76 0 9.8 -1.88 0 9.36 -1.4 0 9.76
4 0 -4.08 0 9.44 -3.92 0 9.96 -5.96 0 10.64 -4.28 0 9.08
4 0 -6.24 0 11.28 -5.88 0 12 -7.68 0 12.4 -8 0 11.4
4 0 -2 0 9.16 -2.36 0 9.2 -2.04 0 8.76 -1.28 0 8.76
3 0 -2.36 0 9.2 -2.68 0 8.64 -2.04 0 8.76
4 0 -7.56 0 7.48 -8.92 0 5.96 -7.24 0 5.08 -7.24 0 7.6
3 0 -2 0 9.16 -1.28 0 8.76 -1.16 0 9.12
3 0 -.2 0 8.64 -1.04 0 8.64 -.36 0 8.28
3 0 .6 0 8.68 .2 0 8.6 .52 0 8.24
3 0 .52 0 8.24 .48 0 8.12 .88 0 8
4 0 .72 0 7.48 .24 0 7.4 .64 0 6.84 .96 0 7.04
3 0 .72 0 7.48 .96 0 7.04 1.12 0 7.08
4 0 4.12 0 6.4 4.44 0 5.92 4.88 0 6.52 4.6 0 7.08
4 0 3.08 0 7.44 2.04 0 7.6 3.2 0 6.96 3.4 0 7.04
4 0 5.84 0 5.6 5 0 5.32 5.52 0 4.96 6.28 0 4.6
4 0 1.4 0 3.96 4.28 0 5.16 3.84 0 5.72 1.2 0 5.6
4 0 1.2 0 5.6 .8 0 5.6 .84 0 5.4 1 0 4.8
3 0 1.2 0 5.6 1 0 4.8 1.4 0 3.96
4 0 2.6 0 1.6 3.24 0 .8 3.24 0 1.96 2.92 0 1.96
4 0 4.28 0 5.16 1.4 0 3.96 1.84 0 3.28 2.24 0 2.8
4 0 1.96 0 -6.32 -1.44 0 -6.68 1.68 0 -8.16 2.08 0 -7.32
4 0 15.04 0 -5.36 14.88 0 -4.64 14.32 0 -5.4 14.4 0 -6.32
4 0 1.96 0 -6.32 2.08 0 -7.32 2.28 0 -6.76 2.36 0 -5
3 0 2.36 0 2.08 2.6 0 1.6 2.92 0 1.96
4 0 3.24 0 1.96 3.24 0 .8 3.72 0 .28 5.56 0 3.36
4 0 9.84 0 .96 9.12 0 1.48 6.68 0 -2.24 7.68 0 -2.92
4 0 5.44 0 -5.28 5.12 0 -5.12 5.2 0 -6.44 5.56 0 -6.52
4 0 11.16 0 -.56 10.68 0 .08 7.68 0 -2.92 8.08 0 -3.32
4 0 12.36 0 -4.44 9.6 0 -4.84 9.84 0 -5.56 12.48 0 -5.12
4 0 8.08 0 -3.32 8.36 0 -3.88 9 0 -3.8 11.16 0 -.56
3 0 9 0 -3.8 8.36 0 -3.88 8.56 0 -4.56
4 0 12.12 0 -3.56 11.68 0 -2.44 9.2 0 -4.04 9.6 0 -4.84
3 0 10 0 -6.36 10.04 0 -7.6 10.56 0 -7.04
4 0 12.04 0 -7.92 12.32 0 -8.32 12.36 0 -8.28 12.28 0 -7.36
4 0 12.48 0 -5.68 9.84 0 -5.56 10 0 -6.36 10.56 0 -7.04
4 0 10.56 0 -7.04 10.64 0 -7.2 11.76 0 -7.44 12.36 0 -6.56
4 0 11.56 0 -8.28 10.64 0 -7.84 10.52 0 -8.72 11.32 0 -8.88
4 0 10.56 0 -10 11.04 0 -9.36 10.4 0 -9.36 10.2 0 -10.16
4 0 10.2 0 -10.16 10.2 0 -10.24 10.28 0 -10.2 10.56 0 -10
4 0 12.2 0 -10.56 11.68 0 -11.48 11.88 0 -11.72 12.64 0 -10.64
4 0 12.4 0 -10.12 12.2 0 -10.56 12.64 0 -10.64 13.04 0 -9.48
4 0 10.52 0 -8.72 10.4 0 -9.36 11.04 0 -9.36 11.32 0 -8.88
4 0 14.88 0 -9.12 14.16 0 -9.08 13.84 0 -10.84 14.52 0 -11.12
4 0 11.76 0 -7.44 12.04 0 -7.92 12.28 0 -7.36 12.36 0 -6.56
3 0 12.48 0 -5.68 10.56 0 -7.04 12.36 0 -6.56
4 0 14.08 0 -4.48 14.32 0 -5.4 14.88 0 -4.64 14.72 0 -4.04
3 0 12.48 0 -5.12 9.84 0 -5.56 12.48 0 -5.68
3 0 12.12 0 -3.56 9.6 0 -4.84 12.36 0 -4.44
4 0 9 0 -3.8 9.2 0 -4.04 11.68 0 -2.44 11.6 0 -1.28
3 0 12.76 0 -.56 12.16 0 -.96 13.08 0 -1.04
4 0 13.04 0 -2 13.6 0 -2.4 13.64 0 -1.56 13.08 0 -1.04
4 0 11.68 0 -2.44 12.24 0 -2.68 11.96 0 -2 11.6 0 -1.28
4 0 12.16 0 -.96 12.76 0 -.56 12.44 0 0 11.52 0 .16
3 0 11.16 0 -.56 9 0 -3.8 11.6 0 -1.28
4 0 11.04 0 .8 11.52 0 .16 12 0 .72 11.44 0 1.44
3 0 9.84 0 .96 7.68 0 -2.92 10.68 0 .08
4 0 5.44 0 -1.24 6.68 0 -2.24 9.12 0 1.48 7.92 0 2.2
4 0 9.68 0 2.04 10.52 0 2.32 9.68 0 2.92 9 0 2.48
4 0 3.72 0 .28 4.92 0 -.8 6.52 0 2.92 5.56 0 3.36
4 0 7.36 0 5 7.12 0 4.32 7.84 0 4.16 8.16 0 4.84
4 0 5.12 0 3.56 2.92 0 2.32 3.24 0 1.96 5.56 0 3.36
3 0 5.12 0 3.6 2.92 0 2.32 5.12 0 3.56
4 0 5.88 0 4.04 5.12 0 3.6 6.28 0 3.56 6.68 0 3.68
3 0 5.04 0 4.52 5.12 0 3.6 5.88 0 4.04
3 0 4.28 0 5.16 5.12 0 3.6 5.04 0 4.52
4 0 4.44 0 5.92 5 0 5.32 5.36 0 5.96 4.88 0 6.52
4 0 3.44 0 6.4 1.16 0 6.4 1.2 0 5.6 3.6 0 6.08
3 0 3.6 0 6.08 1.2 0 5.6 3.84 0 5.72
4 0 3.8 0 7.04 4.36 0 7.76 3.6 0 7.44 3.4 0 7.04
3 0 3.2 0 6.96 1.16 0 6.4 3.44 0 6.4
3 0 3.6 0 7.44 3.08 0 7.44 3.4 0 7.04
3 0 4.6 0 7.08 3.8 0 7.04 4.12 0 6.4
3 0 5.36 0 5.96 5 0 5.32 5.84 0 5.6
4 0 6.6 0 5.24 5.84 0 5.6 6.28 0 4.6 7.12 0 4.32
3 0 6.6 0 5.24 7.12 0 4.32 7.36 0 5
3 0 8.16 0 4.84 7.84 0 4.16 8.68 0 4.8
4 0 9.52 0 4 10.04 0 3.32 10.36 0 3.68 10.4 0 4.2
3 0 9.24 0 3.6 8.56 0 3.28 9.6 0 3
3 0 8.56 0 3.28 7.76 0 3.12 9 0 2.48
3 0 10.52 0 2.32 9.68 0 2.04 10.44 0 1.44
3 0 12 0 .72 11.52 0 .16 12.44 0 0
4 0 14.24 0 -1.92 13.64 0 -1.56 13.6 0 -2.4 14.16 0 -2.68
4 0 14.28 0 -3.4 13.8 0 -3.84 14.72 0 -4.04 14.64 0 -3.28
3 0 14.8 0 -2.16 14.88 0 -2.96 15.4 0 -2.36
4 0 15.2 0 -3.8 14.92 0 -3.08 14.64 0 -3.28 14.72 0 -4.04
